Country,Cases,Deaths,Region
United States,44199.496,713.953,North America
India,33738.188,448.09,Asia
Brazil,21399.546,596.163,South America
United Kingdom,7771.294,136.525,Europe
Russia,7487.138,206.388,Europe
Turkey,7124.966,63.838,Asia
France,7008.228,116.657,Europe
Iran,5572.962,120.16,Asia
Argentina,5255.261,115.13,South America
Spain,4956.691,86.397,Europe
Colombia,4955.848,126.261,South America
Italy,4668.261,130.87,Europe
Germany,4230.691,94.191,Europe
Indonesia,4213.414,141.826,Asia
Mexico,3655.395,276.972,North America
Poland,2905.866,75.623,Europe
South Africa,2900.994,87.525,Africa
Philippines,2535.732,38.164,Asia
Ukraine,2411.622,56.08,Europe
Malaysia,2232.96,26.143,Asia
Peru,2175.305,199.367,South America
Netherlands,2001.347,18.168,Europe
Iraq,2000.869,22.221,Asia
Japan,1698.343,17.564,Asia
Czech Republic,1690.758,30.455,Europe
Chile,1653.406,37.455,South America
Canada,1620.126,27.819,North America
Thailand,1603.475,16.727,Asia
Bangladesh,1555.051,27.487,Asia
Israel,1277.27,7.732,Asia
Pakistan,1245.127,27.729,Asia
Belgium,1242.821,25.595,Europe
Romania,1221.636,36.865,Europe
Sweden,1152.027,14.814,Europe
Portugal,1068.53,17.968,Europe
Serbia,934.44,8.187,Europe
Morocco,931.973,14.248,Africa
Kazakhstan,884.886,11.178,Asia
Cuba,872.425,7.378,North America
